Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,358.609985,374.690002,357.510010,372.339996,370.936798,3319300
2020-03-05,364.500000,379.369995,361.850006,370.600006,369.203369,2270000
2020-03-06,358.500000,368.279999,351.420013,367.010010,365.626892,2131900
2020-03-09,336.690002,348.809998,323.299988,337.200012,335.929230,2165800
2020-03-10,346.329987,357.309998,342.130005,349.299988,347.983612,1816900
2020-03-11,342.040009,350.559998,325.720001,328.220001,326.983063,2243700
2020-03-12,305.529999,317.079987,291.230011,293.049988,291.945587,1726100
2020-03-13,307.000000,314.589996,280.059998,313.910004,312.726990,2184500
2020-03-16,261.049988,292.299988,251.130005,270.209991,269.191681,2795300
2020-03-17,276.010010,277.850006,262.040009,272.579987,271.552734,2568200
2020-03-18,257.809998,259.309998,230.000000,246.580002,245.650742,3177900
2020-03-19,246.580002,261.329987,235.020004,256.190002,255.224518,1912300
2020-03-20,261.010010,273.809998,230.279999,230.610001,229.740921,3308800
2020-03-23,230.850006,239.779999,208.250000,214.429993,213.621887,3564600
2020-03-24,227.550003,243.929993,218.100006,234.059998,233.177917,3403200
2020-03-25,229.179993,281.279999,225.630005,269.010010,267.996216,3035200
2020-03-26,272.339996,306.959991,270.040009,304.480011,303.332520,2204100
2020-03-27,290.140015,304.000000,289.000000,297.070007,295.950439,1918700
2020-03-30,299.320007,318.970001,298.070007,311.230011,310.710785,1635900
2020-03-31,312.059998,317.850006,298.579987,314.019989,313.496124,2504200
2020-04-01,300.000000,302.470001,288.010010,298.750000,298.251617,1607700
2020-04-02,293.000000,306.940002,287.899994,300.109985,299.609314,1068700
2020-04-03,293.679993,299.000000,285.489990,291.630005,291.143494,1198700
2020-04-06,305.220001,330.839996,301.290009,327.470001,326.923706,1559200
2020-04-07,340.089996,345.000000,318.059998,320.049988,319.516052,1747300
2020-04-08,324.820007,346.000000,319.329987,337.260010,336.697357,1619600
2020-04-09,336.760010,345.239990,332.480011,341.899994,341.329620,2190100
2020-04-13,343.690002,349.029999,337.540009,348.260010,347.679016,1380300
2020-04-14,356.269989,364.040009,351.290009,352.209991,351.622406,1497300
2020-04-15,349.000000,359.329987,344.950012,353.540009,352.950195,1431300
2020-04-16,356.000000,380.350006,353.279999,377.309998,376.680542,1451100
2020-04-17,381.619995,383.670013,365.670013,373.589996,372.966736,1441300
2020-04-20,367.109985,377.579987,366.000000,367.329987,366.717194,1172400
2020-04-21,360.500000,363.230011,356.010010,358.859985,358.261322,980300
2020-04-22,365.179993,376.220001,364.290009,367.170013,366.557465,1073100
2020-04-23,370.730011,375.809998,363.149994,366.070007,365.459290,1233400
2020-04-24,369.820007,369.820007,363.329987,369.089996,368.474243,941200
2020-04-27,372.399994,374.880005,366.779999,373.519989,372.896851,704700
2020-04-28,378.829987,379.130005,359.459991,362.869995,362.264618,1302400
2020-04-29,380.000000,386.760010,365.000000,377.380005,376.750427,1760600
2020-04-30,374.309998,392.579987,372.880005,381.820007,381.183014,1693800
2020-05-01,373.549988,381.170013,365.239990,372.239990,371.618988,1089500
2020-05-04,372.339996,378.179993,364.769989,377.839996,377.209656,778300
2020-05-05,378.649994,388.730011,375.529999,384.059998,383.419281,876100
2020-05-06,386.690002,388.609985,373.690002,374.989990,374.364410,735300
2020-05-07,380.000000,382.980011,370.220001,371.420013,370.800385,645700
2020-05-08,377.089996,379.869995,374.250000,377.500000,376.870239,926600
2020-05-11,376.260010,382.670013,375.570007,380.040009,379.406006,736100
2020-05-12,383.000000,392.130005,383.000000,383.709991,383.069855,1148500
2020-05-13,386.540009,393.649994,372.209991,377.420013,376.790375,982800
2020-05-14,373.070007,387.869995,373.010010,385.809998,385.166351,754100
2020-05-15,385.220001,398.820007,385.220001,398.220001,397.555664,963700
2020-05-18,407.989990,412.700012,391.000000,392.369995,391.715424,1063800
2020-05-19,391.049988,402.440002,387.989990,394.470001,393.811920,759300
2020-05-20,397.829987,400.869995,389.510010,391.190002,390.537384,686400
2020-05-21,391.019989,398.329987,387.410004,395.269989,394.610565,691900
2020-05-22,396.230011,397.730011,389.600006,394.429993,393.771973,415900
2020-05-26,404.070007,404.739990,396.339996,397.089996,396.427551,731300
2020-05-27,398.000000,400.029999,383.660004,399.339996,398.673798,835300
2020-05-28,404.739990,411.519989,402.029999,403.809998,403.136322,839500
2020-05-29,406.290009,411.880005,397.480011,410.649994,409.964905,1810200
2020-06-01,407.920013,409.410004,399.209991,401.500000,400.830200,733900
2020-06-02,400.720001,410.369995,395.220001,404.899994,404.224518,769500
2020-06-03,405.000000,407.350006,392.410004,393.730011,393.073151,801100
2020-06-04,390.190002,399.799988,386.510010,392.269989,391.615570,872500
2020-06-05,396.260010,403.059998,388.480011,389.859985,389.209595,1528900
2020-06-08,390.000000,402.470001,383.540009,398.100006,397.435852,1262900
2020-06-09,395.000000,399.559998,390.000000,390.179993,389.529053,1050700
2020-06-10,393.859985,394.600006,385.549988,392.510010,391.855194,1050300
2020-06-11,387.899994,387.899994,367.769989,373.540009,372.916840,1206900
2020-06-12,383.339996,385.440002,370.619995,378.720001,378.088196,1076000
2020-06-15,369.000000,379.299988,366.059998,378.850006,378.217987,1012000
2020-06-16,388.070007,388.070007,375.000000,378.000000,377.369385,935700
2020-06-17,379.869995,383.230011,377.100006,380.000000,379.366058,949000
2020-06-18,377.799988,379.459991,373.000000,379.070007,378.437622,793700
2020-06-19,385.049988,389.730011,379.720001,380.760010,380.124786,959200
2020-06-22,378.600006,381.429993,371.299988,379.809998,379.176361,659500
2020-06-23,381.950012,385.890015,375.510010,381.779999,381.143097,740500
2020-06-24,378.489990,382.390015,365.910004,371.799988,371.179718,711900
2020-06-25,370.929993,376.910004,365.059998,376.130005,375.502502,585700
2020-06-26,376.839996,380.309998,373.250000,374.640015,374.015015,1159300
2020-06-29,374.940002,379.899994,373.670013,379.359985,379.359985,732500
2020-06-30,381.029999,389.299988,379.000000,387.750000,387.750000,909100
